,Sentence,Eno.,Event,Bel(A),Bel(B),CG(A),CG(B)
322,None,76.2,Mothers are nursing while skydiving,2,2,3,3
323,None,76.3,Skydiving with babies is okay,2,2,3,3
324,B: {inhale} And they don’t need that many clothes when they’re that young. And they don’t need toys.  ,78.1,Babies under ten months don't need that many clothes,1,1,1,1
325,None,78.2,Babies under ten months don't need toys,1,1,1,1
326,B: You know basically you don’t need to bring anything.  ,80.0,Basically one doesn't need to bring anyhing when travelling with babies udner ten months,1,1,1,1
327,B: And since I can’t really go anywhere without those anyhow {laugh} ,83.0,B can't really go anywhere without B's boobs anyhow,1,1,1,1
328,A: They’re hard to forget ,84.0,Boobs are hard to forget,1,1,1,1
329,A: Hard to leave behind.  ,86.0,Boobs are hard to leave behind,1,1,1,1
330,"B: yeah. So I mean in then you know then we can just use disposables if we’re travelling, so ",87.1,One can use disposable boobs if one were travelling,2,2,3,3
331,None,87.2,One can use disposable boobs,2,2,3,3
332,None,87.3,One were travelling,2,2,3,3
333,None,89.2,Kevin A thought that Kevin and A can just bring a little mini diaper pail and all when travelling in the car,1,1,1,1
334,None,89.3,Kevin and A can just bring a little mini diaper pail and all when travelling in the car,1,1,1,1
335,A: That was after one time I went never again.  ,91.0,After one time of travelling with non-dsposable diapers A went never again.,1,1,1,1
336,A: Disposables for travelling.  ,93.0,Disposables are essential for travalling,1,1,1,1
337,"B: Every now did you supplement nursing with bottles at all or didn’t, didn’t you? ",96.1,B asks A if A supplemented nursing with bottles,1,1,1,1
338,None,96.2,A supplemented nursing with bottles,2,3,0,0
339,A: No. No. Somehow like I read too many of the (( )) books so I thought it was like no formula.  ,97.0,A read too many of the books so A thought it was like no formula,1,2,3,3
340,A: It does make a difference like I always thought formula smells kind of disgusting {inhale} ,98.1,Formula vs breastmilk does make a difference,1,1,1,1
341,None,98.2,A always thought formula smells like of disgusting,1,1,1,1
342,None,98.3,Formula smells kind of disgusting,1,1,1,1
343,A: Like when they throw up it smells disgusting and when they make their little doo-doo’s it smells grosser if they’re on formula. But if they’re totally breast milk now you’ll find this hard this believe but if they’re totally breast milk for like the first couple months -- ,100.1,"Like when babies throw up, the vomits smell disgusting",1,1,2,2
344,None,100.2,Babies throw up,1,1,2,2
345,None,100.3,The vomits smells disgusting,1,1,1,1
346,None,100.4,"When babies make babies' little doo-doos, the doo-doo smells grosser if the babies are on formula",1,1,1,1
347,None,100.5,Babies make babies little doo-doos,1,1,2,2
348,None,100.6,The doo-doo smells grosser if the babies are on formula,1,1,1,1
349,None,100.7,The doo-doos smell grosser,4,4,3,3
350,None,100.8,Babies are on formula,4,4,3,3
351,A: they don’t their number twos don’t smell at all.  ,102.1,"If babies're totally breast milk for a couple of months, the babie's number twos don't smell",1,1,1,1
352,None,102.2,B will find 102 hard to believe,1,1,1,1
353,A: They don’t smell like anything. It’s like {sniffing} ,104.0,The babies who drink breast milk's doo-doos don't smell like anything.,1,1,1,1
354,A: it looks like shit but it doesn’t smell like anything {laugh}.  ,105.1,The baby who drinks breast milk's doo-doo looks like shit but doesn't smell like anything,1,1,1,1
355,None,105.2,The baby who drinks breast milk's doo-doo looks like shit,1,1,1,1
356,None,105.3,The baby who drinks breast milk's doo-doo doesn't smell like anything,1,1,1,1
357,B: {inhale}And did you pump or not? ,107.1,B asks A if A pumped A's breastmilk,1,1,1,1
358,None,107.2,A pumped A's breastmilk,1,3,0,0
359,A: yeah I pumped. What joy that was.  ,108.0,Pumping was a joy,1,1,1,1
360,B: Did you use a manual or a %uh did you get one of those little battery ones? ,109.1,B asks A if A used a manual pump or if A got one of those little pumps,1,1,1,1
361,None,109.2,A used a manual pump,2,3,0,0
362,None,109.3,A got one of those little battely pumps,1,3,0,0
363,A: Battery operated deal.  ,111.0,A says Battery operated deal.  ,0,2,3,3
364,B: yeah. I think so too.  ,112.1,B thinks B will use battery operated pump.,1,1,1,1
365,None,112.2,B will use battery operated pump,3,3,1,1
366,A: Now like I can tell you I can find the exact brand name of it if you want some time.  ,113.1,A can find the exact brand name of the pump if B wants some time.,1,1,1,1
367,None,113.2,A can find the exact brand name of the pump some time.,1,1,1,1
368,None,113.3,B wants A to find the exact brand name of the pump.,3,4,0,0
369,A: But like it had like this little like nozzle attachment thing on it which was what it said you were supposed to use.  ,115.0,"The battery operated pump had this little like nozzle attachmment think, which said how to use the pump",1,1,1,1
370,A: And I used it the first time for like three seconds I was like -- ,118.0,A used the battery operated pump for the first time and A was like ah.,1,1,1,1
371,A: -- %ah [[drawn out as if in agony]] get {laugh} this thing off me.  ,119.0,A wanted the battery operated pump off B,1,1,1,1
372,A: That really hurt.  ,121.0,The battery operated pump hurt,1,1,1,1
373,A: And I forget what it said it was for I think it said it was for if you had small breasts or something. I don’t know what ,124.1,A forgets what the instructions said about the noozle,1,1,1,1
374,None,124.2,A thinks that the nozzle attachment was for if one had small breasts,1,1,1,1
375,None,124.3,The nozzle attachment was for if one had small breasts,3,3,1,1
376,A: so like I took that thing and I threw it away. {laugh} ,126.1,A took the nozzle,1,1,1,1
377,None,126.2,A threw the nozzle away,1,1,1,1
378,A: {inhale} It was like a little part you put on top of a nozzle thing. It was just like an extra attachment and I took that and I -- ,128.1,The nozzle was like a little part you put on top of the pump,1,1,1,1
379,None,128.2,The nozzle was just like an extra attchment,1,1,1,1
380,A: And then it was fine.  ,132.0,Then the pump was fine,1,1,1,1
381,A: That seemed to work fine {inhale} ,136.0,The pump seemed to work fine,1,1,1,1
382,"A: You know i- if I, if you could avoid it  ",138.1,It would be better if B could avoid the pump,1,1,1,1
383,None,138.2,B could avoid the pump,3,3,1,1
384,A: well for the first couple months I’ll just be home and I’ll just get a lot of rest and I’ll take it easy and if I’m not -- ,141.1,For the first couple of months A will just be home,1,1,1,1
385,None,141.2,A will just get a lot of rest,1,1,1,1
386,None,141.3,A will take it easy,1,1,1,1
387,A: -- sleeping at night I’ll just sleep during the day or sleep when the baby sleeps.  ,142.1,"If A is not sleeping at night, A will just sleep during the day or A will sleep when the baby sleeps",1,1,1,1
388,None,142.2,A is not sleeping at night,4,4,0,0
389,None,142.3,A will sleep during the day,4,4,0,0
390,None,142.4,A will sleep when the baby sleeps,4,4,0,0
391,A: Not do this whole pumping thing I mean if I had to do it all over that’s what I would do.  ,144.1,"A would do If A is not sleeping at night, A will just sleep during the day or A will sleep when the baby sleeps instead of this whole pumping thing if A had to raise a child all over again",1,1,1,1
392,None,144.2,"A would do If A is not sleeping at night, A will just sleep during the day or A will sleep when the baby sleeps instead of this whole pumping thing",4,4,0,0
393,None,144.3,A had to raise a child all over again,4,4,0,0
394,B: oh yeah because I was thinking it would be easier because then other people could feed the baby and you wouldn’t have to be so tied to it.  ,145.1,B was thinking that pumping would be easier becasue then other people could feed the baby and one wouldn't have to be so tided to the baby,1,1,1,1
395,None,145.2,B was thinking that pumping would be easier,1,1,1,1
396,None,145.3,Other people could feed the baby,3,3,1,1
397,None,145.4,One wouldn't need to be so tided to the baby,3,3,1,1
398,None,145.5,Pumping would be easier,1,3,1,1
399,A: yeah. And if you want to go out to a movie or something.  ,147.1,Pumping would be easier if one wants to go out to a movie or something,1,1,1,1
400,None,147.2,One wants to go out to a movie or something,4,4,0,0
401,B: Well we never go out. [[says laughing]] I mean you know what &Norm and I are like I mean.  ,149.1,B and Norm never go out,1,1,1,1
402,None,149.2,A knows what B and Norm are like,1,1,1,1
403,None,149.3,B and Norm have certain habbits,1,1,2,2
404,"A: Well believe me when you have a baby you’ll want, you’ll to put it in someone else’s house or someone come watch it in your house and go anywhere else. {laugh} ",150.1,"When one has a baby, one will want to put the baby in someone else's house",1,1,1,1
405,None,150.2,"When one has a baby, someone will come and watch the baby in one's house and one will go anywhere else",1,1,1,1
406,None,150.3,One has a baby,4,4,0,0
407,None,150.4,One will want to put the baby in someone else's house,4,4,0,0
408,None,150.5,Someone will come,4,4,0,0
409,None,150.6,Someone will watch the baby in one's house,4,4,0,0
410,None,150.7,One will go anywhere else,4,4,0,0
411,B: See that’s what I was thinking like for my in laws and stuff when we go home for &Christmas.  ,151.1,B was thinking that B's inlaws could watch the baby when B and Norm go home for Christmas,1,1,1,1
412,None,151.2,B's inlaws could watch the baby when B and Norm go home for Christmas,2,2,3,3
413,None,151.3,B's inlaws could watch the baby,4,4,0,0
414,None,151.4,B and Norm go home for Christmas,1,1,1,1
415,B: It would be so nice to just you know leave the baby with them but you can’t leave the baby.  ,153.1,It would be so nice to just leave the baby with B's inlaws but one can’t leave the baby with the inlaws,1,1,1,1
416,None,153.2,It would be so nice to leave the baby with B's inlaws,1,1,2,2
417,None,153.3,One can't leave the baby with the inlaws,1,1,1,1
418,A: you know y- you might have to try one or two before you find one that works but ,155.1,One might have to try one or two breast pumps before one finds the pump that works,1,1,1,1
419,None,155.2,One might have to try one or two breast pumps,3,3,0,0
420,None,155.3,One finds the breast pump that works,3,3,0,0
421,A: once and you know they have like things and like can set the tension or whatever they get ,157.0,Breast pumps have like things and like can set the tension or whatever,1,1,1,1
422,B: {laugh} the tension {laugh} ((they’re)) like the little knob on your sewing machine.  [[said laughing]] {laugh} ,159.0,The tension setting is like the little knob on one's sewing machine,1,1,1,1
423,"A: {laugh} You can set the, the power level and stuff and and it g- ",160.0,One can set the power level in the breast pump,1,1,1,1
424,B: {inhale} {laugh} {inhale} Or like extra suck for just ((starting to)) suck. [[said laughing]] ,161.0,The breast pump has extra suck setting,1,1,1,1
425,A: once you get used it i- you know at first you feel like what am I doing putting this machine on me it’s disgusting ,163.1,At first one feels like what is one doing putting this machine on one's breasts,1,1,1,1
426,None,163.2,One is putting this machine on one's breasts,4,4,0,0
427,A: or obscene or something.  ,165.0,Putting the machine on one's breasts is disgusting or obscene or something,3,4,0,0
428,A: But once you get used to it it was %uh you know you can like read while you’re doing it. It was like boring.  ,166.1,"Once one gets used to the breast pump, one can like read while breast pumping",1,1,1,1
429,None,166.2,Once gets used to the breast pump,1,1,1,1
430,None,166.3,One can read while breast pumping,1,1,1,1
431,B: And what does it go into like a little plastic bag **thingy**? ,169.1,B asks A what does the pump machine go into like a little plastic bag,1,1,1,1
432,None,169.2,The pump machine goes into like a little plastic bag,4,4,0,0
433,A: %uh well the thing I had was like -- ,170.0,A had a breast pump,1,1,2,2
434,"A: -- on to something that was just like a, a jar bottom.  ",173.1,One screws on this whole motor suction part of the breast machine on something that was just like a jar bottom,1,1,1,1
435,None,173.2,Something was just like a jar bottom,1,1,2,2
436,A: You know just looked like a screw thing so that it went to this plastic container.  ,174.1,Something that was just like a jar bottom looked like a screw thing,1,1,1,1
437,None,174.2,The screw thing went to this plastic container,1,1,1,1
438,B: okay. And you can reuse the plastic container? ,176.1,B asks A if one can reuse the plastic container,1,1,1,1
439,None,176.2,One can reuse the plastic container,4,4,0,0
440,A: And then what I would do is just %uh I would bring little bags like that you’re supposed to put formula in with me to work.  ,177.1,A would then bring little bags like that one is supposed to put formula in with A to work,1,1,1,1
441,None,177.2,One is supposed to put formula in little bags,1,1,2,2
442,A: into the plastic bag and seal it up and then go you know rinse out the container thing and wash it the next day.  ,180.1,Then A would pour the milk from the container into the plastic bag,1,1,1,1
443,None,180.2,A would seal up the plastic bag,1,1,1,1
444,None,180.3,Then A would rinse out the container,1,1,1,1
445,None,180.4,A would wash the container the next day,1,1,1,1
446,B: And did you throw away the plastic bags when you were done? ,181.1,B asks A if A threw away the plastic bags when A was done with the milk,1,1,1,1
447,None,181.2,A threw away the plastic bags when A was done with the milk,1,4,0,0
448,A: Well see then the plastic bag is designed to go inside a bottle thing.  ,182.0,The plastic bag is designed to go inside a bottle thing,1,1,1,1
449,B: yeah. And th- %eh so then you so you throw the plastic bag away when you’re done.  ,183.0,Then one throws away the plastic bag when one is done,1,1,1,1
450,A: After your baby drinks the milk yeah.  ,184.1,One throws away the plastic bag after one's baby drinks the milk,1,1,1,1
451,None,184.2,One's baby drinks the milk,1,1,2,2
452,B: {lipsmack} okay. I’m just trying to you know ,186.0,B is trying to learn about B's options regarding baby feeding,0,1,0,0
453,A: And that way you can freeze them so you know we’d end up  ,188.0,That way one can freeze milk,1,1,1,1
454,"A: there was sort of like a, a go or no go for breast pumping like once you just kind of got everything going it was like it ended up I was pumping too much you know it was like ",190.1,There was sort of like a go or no go for breast pumping,1,1,1,1
455,None,190.2,Once one just kind of got everything going it was like A was pumping too much,1,1,1,1
456,None,190.3,One got everything going with the breast pump,1,1,1,1
457,A: we ended up with a freezer full like we found a year later a freezer full of breast milk. [[said laughing]] ,192.1,Kevin and A ended up with a freezer full of breast milk,1,1,1,1
458,None,192.2,Kevin and A  found a year later a freezer full of breast milk.,1,1,1,1
459,A: oh let’s just throw this all away.  ,194.1,A suggested that A and Kevin should throw the old breast milk from the freezer,1,1,1,1
460,None,194.2,A and Kevin should throw the old breast milk from the freezer,1,1,1,1
461,A: It’s like all that hard work but it was either you know it was either explode or {breath} you know pretty much ,196.1,The pumping was hard work,1,1,1,1
462,None,196.2,It was either to explode or pump the breast milk,1,1,1,1
463,"B: But I thought like you totally got down to the level so even if you only breast fed one, you know once a day that that’s how much milk you would have.  ",197.1,B thought one totally got down to the level,1,1,1,1
464,None,197.2,One totally got down to the level,4,3,0,0
465,None,197.3,"So even if one breast fed one child once a day, that is how much milk would one have",4,3,0,0
466,None,197.4,One breast fed one's child once a day,4,4,0,0
467,None,197.5,One would produce that much milk,4,4,0,0
468,A: I don’t know. All I can tell you is to get a big bag (( )) [[says laughing]].  ,198.1,A doesn't know much much milk would one have depending on the frequency of breast feeding,1,1,1,1
469,None,198.2,All A can tell B is to get a big bag,1,1,1,1
470,None,198.3,B is to get a big bag,3,3,0,0
471,"A: once you, once he was getting bigger or something there was like I was making two bags and it was like if you sat down you either did two bags or you’d explode that was it. ",201.1,"Once A started at work and A's child was bigger or something, A was making two bags of milk",1,1,1,1
472,None,201.2,A started at work after delivering the child,1,1,2,2
473,None,201.3,A's child was bigger,1,1,2,2
474,None,201.4,A was making two bags of milk,1,1,1,1
475,None,201.5,"If one sat down, one either did two bags or one would explode",1,1,1,1
476,None,201.6,One sat down,4,4,0,0
477,None,201.7,One did either two bags of milk or one would explode,1,1,1,1
478,A: And she just couldn’t quite drink that much so {lipsmack} ,202.0,A's child could not quite drink that much,1,1,1,1
479,A: You know that was why I was working in the morning the morning’s when you do the most. {breath} Everybody’s different so it probably ,204.1,A was pumping the milk in the morning because the morning is when one does the most milk,1,1,1,1
480,None,204.2,A was pumping milk in the morning,1,1,1,1
481,None,204.3,The morning is when one does the most milk,1,3,1,1
482,None,204.4,Everybody is different so milk pumping in the morning may not work for everyone,1,1,1,1
483,None,204.5,Everybody is different,1,1,2,2
484,None,204.6,Milk pumping in the morning may not work for everyone,1,1,1,1
485,B: yeah yeah that’s true. {inhale} Well I only have fourteen weeks left so.  ,205.1,B only has fourteen weeks left before B delivers B's child,1,1,1,1
486,None,205.2,B will deliver B's child,1,1,2,2
487,A: Wow you’re getting there. [[drawn out]] ,206.0,B is getting closer to B's baby birth,1,1,1,1
488,B: I know {breath} I know.  ,207.0,B knows B is getting closer to B's baby birth,1,1,1,1
489,A: Stopping with the miscarriage anxiety starting with the delivery anxiety.  [[said laughing]] ,208.1,A is stopping with the miscarriage anxiety,3,3,1,1
490,None,208.2,A is starinng with the delivery anxiety,3,3,1,1
491,B: {laugh} I know oh no. I had the miscarriage anxiety up until the you know because you have all those well wishers you know telling you about all those things you know.  ,209.1,B had the miscarriage anxiety up until the delivery because one has all those wishers telling one about all those things,1,1,1,1
492,None,209.2,B had the miscarriage anxiety up until the delivery,1,1,1,1
493,None,209.3,One has all those wishers telling one about all those things,1,1,1,1
494,A: ooh everybody wants to start telling you these things like people would like corner me to tell me about their hysterectomies. It’s like somehow some O B gyn connection that they see you and they think of O B gyn and they’ve got to tell you about it.  ,210.1,Everybody wants to start telling one about their pregnancy experience,1,1,1,1
495,None,210.2,People would corner A to tell A about people's hysterectomies,1,1,1,1
496,None,210.3,People would corner A,4,4,0,0
497,None,210.4,People would tell A about people's hysterectomies,1,1,1,1
498,None,210.5,People had hysterectomies,1,1,2,2
499,None,210.6,"When people see a pregnant woman, the people think of OB gyn",1,1,1,1
500,None,210.7,People see a pregnant woman,4,4,0,0
501,None,210.8,People think of OB gyn,4,4,0,0
502,None,210.9,People who think of OB gyn when seeing a pregnant woman got to tell the pregnant woman about the people's hysterectomies,1,1,1,1
503,B: Well I’ve heard the cord accident stories ,214.0,B's heard the cord accident stories,1,1,1,1
504,B: which had me like totally and completely freaked out.  ,215.0,The cord accident stories had B totally and completely freaked out,1,1,1,1
505,B: a- are you still there? ,216.1,B asks A if A is still on the phone,1,1,1,1
506,None,216.2,A is still on the phone,4,1,0,0
507,A: yeah ((I’m still here)) [distortion] ,217.0,A says yeah ((I’m still here)) [distortion] ,1,0,1,1
508,B: oh so I had so I talked to my doctor about it and apparently it’s very rare [[said laughing]] so don’t ask me why I’ve heard so many stories about it but {sniff} ,218.1,B talked to B's doctor about the cord accidents,1,1,1,1
509,None,218.2,The cord accidents are apparently very rare,1,1,1,1
510,None,218.3,B requests A not to ask B why B's heard so many stories about the cord accidents,1,1,1,1
511,None,218.4,A asks B why B's heard so many stories about the cord accidents,2,2,3,3
512,None,218.5,B's heard so many stories about the cord accidents,1,1,2,2
513,B: oh yeah and then there was this friend I had she was eight and a half months pregnant and you know {breath} baby had a cord accident and she died. [[said laughing]] ,219.1,There was B's friend that B had,1,1,1,1
514,None,219.2,B had a friend,1,1,1,1
515,None,219.3,B's friend was eight and a half months pregnant,1,1,1,1
516,None,219.4,B's friend's baby had a cord accident,1,1,1,1
517,None,219.5,B's friend's baby died,1,1,1,1
518,A: Like most people they just have babies it all works out.  ,220.1,It all works out for most people who have babies,1,1,1,1
519,None,220.2,People have babies,4,4,0,0
520,B: yeah. I know. I know so I’m not so freaked out anymore.  ,221.1,B knows It all works out for most people who have babies,1,1,1,1
521,None,221.2,B is not so freaked out anymore,1,1,1,1
522,B: {lipsmack} That was like I was talking to &Erica on the phone and %uh ,223.0,B was talking to Erica on the phone,1,1,1,1
523,B: that’s what she told me she’s like but d- to say that it was okay she was like saying that well you know but this woman is pregnant again and you know will have her baby again soon so it was like no big deal. ,224.1,Erica told B that B's friend loosing B's friend baby was okay,1,1,1,1
524,None,224.2,B's friend loosing B's friend baby was okay,2,2,3,3
525,None,224.3,B's friend is pregnant again,1,1,1,1
526,None,224.4,B's friend will have B's friend baby again soon so B's friend's loosing B's friend's baby was no big deal,1,1,1,1
527,None,224.5,B's friend will have B's friend baby again soon,1,1,1,1
528,None,224.6,B's friend's loosing B's friend's baby was no big deal,2,2,3,3
529,B: pins and needles.  She must be having the most miserable pregnancy in the whole world.  ,227.1,"But having never been pregnant before, B's sure Erica has no idea B's friend must be on just absolute pins and needles",1,1,1,1
530,None,227.2,Erica has never been pregnant before,1,1,1,1
531,None,227.3,B is sure Erica has no idea B's friend must be on just absolute pins and needles,1,1,1,1
532,None,227.4,Erica has no idea B's friend must be on just absolute pins and needles,1,1,1,1
533,None,227.5,B's friend must be on just absolute pins and needles,1,1,1,1
534,None,227.6,B's friend is on just absolute pins and needles,3,3,1,1
535,None,227.7,B's friend must be having the most miserable pregnancy in the whole world,1,1,1,1
536,None,227.8,B's friend is having the most miserable pregnancy in the whole world,3,3,1,1
537,"A: yeah that’s such a public thing.  Like everyone knew she was pregnant.  I mean once you’re eight and half months, man, I mean there was nothing nice about it (( )) ",228.1,Loosing a baby is such a public thing,1,1,1,1
538,None,228.2,Everyone knew B's friend was pregnant,1,1,1,1
539,None,228.3,B's friend was pregnant,1,1,2,2
540,None,228.4,There was nothing nice about being pregnant eight and half months and loosing the baby,1,1,1,1
541,None,228.5,There was nothing nice about being pregnant eight and half months,1,1,1,1
542,None,228.6,There was nothing nice about loosing the baby,1,1,1,1
543,B: I know.  ,229.0,B knows There was nothing nice about being pregnant eight and half months and loosing the baby,1,1,1,1
544,"A: you know if you’ve made it through the eight and a half months, man, you deserve it a baby.  ",230.1,"If one's made it through the eight and a half months, one deserves a baby",1,1,1,1
545,None,230.2,One's made it through the eight and a half months,4,4,0,0
546,None,230.3,One deserves a baby,4,4,0,0
547,B: I know and then you know and then to have to go back to work ,232.1,"B knows If one's made it through the eight and a half months, one deserves a baby",1,1,1,1
548,None,232.2,One has to go back to work after one looses one's baby,1,1,1,1
549,None,232.3,Going back to work after loosing one's baby is tough,1,1,1,1
550,"B: and {inhale} you know and then the second pregnancy must be just like fraught with anxiety and especially since it happened at eight and a half months, you know.   ",233.1,"Once one lost baby at eight and a half months, the second pregnancy must be just like fraught with anxiety",1,1,1,1
551,None,233.2,One lost baby at eight and a half months,4,4,0,0
552,None,233.3,The second pregnancy must be just like fraught with anxiety,4,4,0,0
553,A: yeah and everybody is probably saying now you better really drink milk this time.  You better eat your cottage cheese now.  ,234.1,Everybody is probably saying now one better really drink milk this time,1,1,1,1
554,None,234.2,Now one better really drink milk this time,1,1,1,1
555,None,234.3,One really drinks milk this time,2,2,3,3
556,None,234.4,One better eat one's cottage cheese now,1,1,1,1
557,None,234.5,One eats one's cottage cheese now,2,2,3,3
558,B: {laugh} I Know.  ,235.0,B knows Everybody is probably saying now one better really drink milk this time,1,1,1,1
559,B: I know I know yeah.  I actually did start drinking more milk and it has helped with all my little aches and pains and stuff.  ,236.1,B actually did start drinking more milk,1,1,1,1
560,B: So tell me a little bit about the day she was born. When did you first see her? ,1.1,B asks A to tell B a little bit about the day Mae was born,1,1,1,1
561,None,1.2,A tells B a little bit about the day Mae was born,0,3,0,0
562,None,1.3,Mae was born,1,1,2,2
563,None,1.4,B asks A when did A first saw Mae,1,1,1,1
564,None,1.5,A first saw Mae somewhere,1,1,2,2
565,"A: %um what happened is we went to the hospital, she was induced.  ",2.1,A and Robert went to the hospital,1,1,1,1
566,None,2.2,Mae was induced,1,1,1,1
567,"A: So we get a phone call and th-, she was supposed to  ",4.0,A and Robert got a phone call,1,1,1,1
568,"A: %um the birth mom was supposed to go in at %um, it’s my thinking that this will be distributed publicly.  ",6.1,Mae's birth mom was supposed to go into labor at some specific time,1,1,1,1
569,None,6.2,Mae's birth mom went into labor at some specific time,2,2,3,3
570,None,6.3,A thought that the time Mae's birth mom was supposed to go to labor would be distributed publicly,1,1,1,1
571,None,6.4,The time Mae's birth mom was supposed to go to labor would be distributed publicly,3,4,3,3
572,A: at %um six thirty in the morning but she called and they didn’t have any beds.  ,8.1,Mae's birth mom was supposed to go into labor at six thirty in the morning but Mae's birth mom called and the hospital didn't have any beds,1,1,1,1
573,None,8.2,Mae's birth mom was supposed to go into labor at six thirty in the morning,1,1,1,1
574,None,8.3,Mae's birth mom went into labot at six thirty in the morning,2,2,3,3
575,None,8.4,Mae's birth mom called,1,1,1,1
576,None,8.5,The hospital didn't have any beds,1,1,1,1
577,"A: So she called us and told us that, but then they did get a bed and she went in at eight.  ",10.1,So Mae's mom called A and Robert,1,1,1,1
578,None,10.2,"So Mae's mom told A and Robert about events im 8.2, 8.4 and 8.5",1,1,1,1
579,None,10.3,The hospital did get a bed eventually,1,1,1,1
580,None,10.4,Mae's mom went into labor at eight,3,3,1,1
581,"A: Or seven thirty or, I guess she went in at seven thirty and they started her at eight or so so we hopped in the car and drove down to be there ",12.1,Mae's mom went into labor at seven,3,3,1,1
582,None,12.2,A guesses Mae's birth mom went into labor at seven thirty,1,1,1,1
583,None,12.3,Mae's birth mom went into labor at seven thirty,3,3,1,1
584,None,12.4,The hospital staff started Mae's birth mom at eight so A and Robert hopped in the car and drove down to be at the hospital for the day,1,1,1,1
585,None,12.5,The hospital staff started Mae's birth mom at eight,1,1,1,1
586,None,12.6,A and Robert hopped in the car,1,1,1,1
587,None,12.7,A and Robert drove down to be at the hospital for the day,1,1,1,1
588,A: we hung out all day.  We had %uh we had some difficult times with the lawyer down there.  He was supposed to show up  ,18.1,A and Robert hung out all day at the hospital,1,1,1,1
589,None,18.2,A and Robert had some difficult times with the lawyer down at the hospital,1,1,1,1
590,None,18.3,The lawyer was supposed to show up,1,1,1,1
591,None,18.4,The lawyer showed up,2,2,3,3
592,A: and we waited all day and he never bloody showed up.  ,21.1,A and Robert waited for the lawyer all day,1,1,1,1
593,None,21.2,The lawyer never bloddy showed up,1,1,1,1
594,"A: And %um, he and also she was expecting him too.  ",23.0,Also Mae's birth mom was expecting the lawyer too,1,1,1,1
595,A: You know and so that was frustrating.  ,25.0,The lawyer not showing up was frustrating,1,1,1,1
596,A: But anyway we waited all day and %um  ,27.0,A and Robert waited all day,1,1,1,1
597,A: But then five twenty five &Mae was born.  ,28.0,Mae was born at five twenty five,1,1,1,1
598,A: And the birth mother’s mother was with her through the whole thing and she was fantastic.  She was just great.  She was so nice to us and so solid there for her daughter and just a wonderful ,30.1,Mae's birth mom's mom was with Mae's birth mom throught the labor,1,1,1,1
599,None,30.2,Mae's birth mom's mom was fantastic,1,1,1,1
600,None,30.3,Mae's birth mom's mom was just great,1,1,1,1
601,None,30.4,Mae's birth mom's mom was so nice to A and Robert,1,1,1,1
602,None,30.5,Mae's birth mom's mom was so solid for Mae's birth mom,1,1,1,1
603,None,30.6,Mae's birth mom's mom was just wonderful woman,1,1,1,1
604,"A: She was great.  She came out, you know, a couple times during the day she came out and gave us little progress reports of how things were going and actually it was very funny ",35.1,Mae's birth mom's mom was great,1,1,1,1
605,None,35.2,Mae's birth mom's mom came out a couple of times during the day,1,1,1,1
606,None,35.3,Mae's birth mom's mom came out to A and Robert,1,1,2,2
607,None,35.4,Mae's birth mom's mom gave A and Robert little progress reports of how things were going,1,1,1,1
608,"A: because the first time she out {laugh}, I mean here we’re out there sort of ringing our hands and  ",37.1,"Mae's birth mom's mom's reporting on the labor was actually very funny because the first time Mae's birth mom's mom came out, A and Robert were out in the waiting room sort of ringing A's and Robert's hands",1,1,1,1
609,None,37.2,Mae's birth mom's mom's reporting on the labor was actually very funny,1,1,1,1
610,None,37.3,A and Robert were out in the waiting room sort of ringing A's and Robert's hands,1,1,1,1
611,"A: sweating it out and wondering how everybody is going and everything and she came out and could I go downstairs because %um, her daughter wanted playing cards.  ",39.1,A and Robert were sweating out the labor,1,1,1,1
612,None,39.2,A and Robert were wondering how everybody was going and everything,1,1,1,1
613,None,39.3,A went downstairs because Mae's birth mom wanted playing cards,1,1,1,1
614,None,39.4,A went downstairs,1,1,1,1
615,None,39.5,Mae's birth mom wanted playing cards,1,1,1,1
616,None,39.6,A went downstairs to buy playing cards for Mae's birth mom,1,1,1,1
617,None,39.7,A bought playing cards,1,1,1,1
618,A: So I guess she was bored.  ,41.1,So A guesses Mae was bored,1,1,1,1
619,None,41.2,Mae was bored,3,3,1,1
620,A: You know passing the time {laugh} ,43.1,A jokes that Mae's birth mom wants to pass the time with playing cards,1,1,1,1
621,None,43.2,Mae's birth mom wants to pass the time with playing cards,3,3,1,1
622,None,43.3,Mae's birth mom passes the time with playing cards,3,3,1,1
623,A: So I went downstairs to get playing cards with her and ,45.1,A went downstairs to get playing cards with Mae's birth mom's mom,1,1,1,1
624,None,45.2,A got playing cards with Mae's birth mom's mom,1,1,2,2
625,A: and then later on she came out and she wanted some chewing gum. {laugh} ,47.1,Later on Mae's birth mom's mom came out to the waiting room,1,1,1,1
626,None,47.2,Mae's birth mom wanted some chewing gum,1,1,1,1
627,None,47.3,Mae's birth mom's mom requested chewing gum from A for Mae's birth mom,1,1,2,2
628,"A: %um, I guess your mouth gets dry and you just want something.  ",49.1,A guesses one's mouth gets dry after delivering a baby,1,1,1,1
629,None,49.2,One just wants something atfer delivering a baby,3,1,1,1
630,B: yeah. I’m sure.  ,50.0,B is sure about One just wants something atfer delivering a baby,1,1,1,1
631,"A: So, you know, it was, it was kind of funny these very ",51.0,Mae's birth mom wanting playing cards and gums was kind of funny,1,1,1,1
